2016-05-23 15:54:42.4188 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 704
2016-05-23 15:54:42.4188 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 704
2016-05-23 15:54:42.4378 DEBUG Group id : 2e111bfb-e201-4ff9-8755-1212f46ce594   , duration MS : 803
2016-05-23 15:54:42.4508 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 0
2016-05-23 15:54:43.3548 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 850
2016-05-23 15:54:43.3548 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 850
2016-05-23 15:54:43.3548 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 1
2016-05-23 15:54:43.3878 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 7
2016-05-23 15:54:43.3878 DEBUG Group id : 2e111bfb-e201-4ff9-8755-1212f46ce594   , duration MS : 896
2016-05-23 15:54:44.2898 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 887
2016-05-23 15:54:44.2898 DEBUG Group id : 2e111bfb-e201-4ff9-8755-1212f46ce594   , duration MS : 859
2016-05-23 15:54:44.2898 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 887
2016-05-23 15:54:44.2898 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 887
2016-05-23 15:54:44.3158 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 2
2016-05-23 15:54:45.2258 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 863
2016-05-23 15:54:45.2258 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 863
2016-05-23 15:54:45.2398 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 863
2016-05-23 15:54:45.2398 DEBUG Group id : 2e111bfb-e201-4ff9-8755-1212f46ce594   , duration MS : 914
2016-05-23 15:54:45.3278 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 75
2016-05-23 15:54:46.1648 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 822
2016-05-23 15:54:46.1648 DEBUG Group id : 2e111bfb-e201-4ff9-8755-1212f46ce594   , duration MS : 880
2016-05-23 15:54:46.1648 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 0
2016-05-23 15:54:46.1758 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 0
2016-05-23 15:54:46.1758 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 1
2016-05-23 15:54:47.0978 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 1820
2016-05-23 15:54:47.0978 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 1820
2016-05-23 15:54:47.0978 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 910
2016-05-23 15:54:47.0978 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 1820
2016-05-23 15:54:47.0978 DEBUG Group id : 2e111bfb-e201-4ff9-8755-1212f46ce594   , duration MS : 930
2016-05-23 15:54:48.0368 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 828
2016-05-23 15:54:48.0368 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 828
2016-05-23 15:54:48.0368 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 828
