2016-05-24 09:26:31.6259 DEBUG Group id : 6d852c90-2a4e-4c15-b981-78aa20e5e457   , duration MS : 628
2016-05-24 09:26:32.0509 DEBUG Group id : 1fde8e78-9d28-4491-aa9c-677eb03c9959   , duration MS : 1061
2016-05-24 09:26:32.0579 DEBUG Group id : 361536d2-0a10-4aab-8615-1befa4fceeef   , duration MS : 989
2016-05-24 09:26:32.0579 DEBUG Group id : 6d852c90-2a4e-4c15-b981-78aa20e5e457   , duration MS : 439
2016-05-24 09:26:32.0739 DEBUG Group id : 1fde8e78-9d28-4491-aa9c-677eb03c9959   , duration MS : 1
2016-05-24 09:26:32.0879 DEBUG Group id : 535e8c46-5436-4298-b760-a213ad0070ca   , duration MS : 1062
2016-05-24 09:26:32.0879 DEBUG Group id : 361536d2-0a10-4aab-8615-1befa4fceeef   , duration MS : 0
2016-05-24 09:26:32.1049 DEBUG Group id : 6d852c90-2a4e-4c15-b981-78aa20e5e457   , duration MS : 0
2016-05-24 09:26:32.1049 DEBUG Group id : 361536d2-0a10-4aab-8615-1befa4fceeef   , duration MS : 0
2016-05-24 09:26:32.1289 DEBUG Group id : 6d852c90-2a4e-4c15-b981-78aa20e5e457   , duration MS : 1
2016-05-24 09:26:32.1359 DEBUG Group id : 1fde8e78-9d28-4491-aa9c-677eb03c9959   , duration MS : 0
2016-05-24 09:26:32.1559 DEBUG Group id : 361536d2-0a10-4aab-8615-1befa4fceeef   , duration MS : 0
2016-05-24 09:26:32.1979 DEBUG Group id : 1fde8e78-9d28-4491-aa9c-677eb03c9959   , duration MS : 0
2016-05-24 09:26:32.6240 DEBUG Group id : 6d852c90-2a4e-4c15-b981-78aa20e5e457   , duration MS : 432
2016-05-24 09:26:33.1300 DEBUG Group id : 1fde8e78-9d28-4491-aa9c-677eb03c9959   , duration MS : 923
2016-05-24 09:26:33.1330 DEBUG Group id : 361536d2-0a10-4aab-8615-1befa4fceeef   , duration MS : 947
2016-05-24 09:26:33.1330 DEBUG Group id : 6d852c90-2a4e-4c15-b981-78aa20e5e457   , duration MS : 508
2016-05-24 09:26:33.1330 DEBUG Group id : 535e8c46-5436-4298-b760-a213ad0070ca   , duration MS : 961
2016-05-24 09:26:33.1760 DEBUG Group id : 1fde8e78-9d28-4491-aa9c-677eb03c9959   , duration MS : 0
2016-05-24 09:26:33.1930 DEBUG Group id : 361536d2-0a10-4aab-8615-1befa4fceeef   , duration MS : 0
2016-05-24 09:26:33.2010 DEBUG Group id : 6d852c90-2a4e-4c15-b981-78aa20e5e457   , duration MS : 0
2016-05-24 09:26:33.2010 DEBUG Group id : 1fde8e78-9d28-4491-aa9c-677eb03c9959   , duration MS : 0
2016-05-24 09:26:33.2120 DEBUG Group id : 6d852c90-2a4e-4c15-b981-78aa20e5e457   , duration MS : 0
2016-05-24 09:26:33.2120 DEBUG Group id : 361536d2-0a10-4aab-8615-1befa4fceeef   , duration MS : 4
2016-05-24 09:26:33.2880 DEBUG Group id : 1fde8e78-9d28-4491-aa9c-677eb03c9959   , duration MS : 2
2016-05-24 09:26:33.2940 DEBUG Group id : 361536d2-0a10-4aab-8615-1befa4fceeef   , duration MS : 0
2016-05-24 09:26:33.6191 DEBUG Group id : 6d852c90-2a4e-4c15-b981-78aa20e5e457   , duration MS : 342
